timestamp,city_name,country,latitude,longitude,temp,feels_like,temp_min,temp_max,pressure,humidity,weather_description,wind_speed,wind_deg,wind_gust,raw_response
2025-04-02 17:02:29,Jena,DE,50.9333,11.5833,287.68,286.49,286.97,288.11,1023,50,scattered clouds,3.58,36,7.15,"{""coord"":{""lon"":11.5833,""lat"":50.9333},""weather"":[{""id"":802,""main"":""Clouds"",""description"":""scattered clouds"",""icon"":""03d""}],""base"":""stations"",""main"":{""temp"":287.68,""feels_like"":286.49,""temp_min"":286.97,""temp_max"":288.11,""pressure"":1023,""humidity"":50,""sea_level"":1023,""grnd_level"":991},""visibility"":10000,""wind"":{""speed"":3.58,""deg"":36,""gust"":7.15},""clouds"":{""all"":44},""dt"":1743606104,""sys"":{""type"":2,""id"":2010771,""country"":""DE"",""sunrise"":1743569223,""sunset"":1743616023},""timezone"":7200,""id"":2895044,""name"":""Jena"",""cod"":200}"
2025-04-02 17:05:29,Jena,DE,50.9333,11.5833,287.68,286.49,286.97,288.11,1023,50,scattered clouds,3.58,36,7.15,"{""coord"":{""lon"":11.5833,""lat"":50.9333},""weather"":[{""id"":802,""main"":""Clouds"",""description"":""scattered clouds"",""icon"":""03d""}],""base"":""stations"",""main"":{""temp"":287.68,""feels_like"":286.49,""temp_min"":286.97,""temp_max"":288.11,""pressure"":1023,""humidity"":50,""sea_level"":1023,""grnd_level"":991},""visibility"":10000,""wind"":{""speed"":3.58,""deg"":36,""gust"":7.15},""clouds"":{""all"":44},""dt"":1743606104,""sys"":{""type"":2,""id"":2010771,""country"":""DE"",""sunrise"":1743569223,""sunset"":1743616023},""timezone"":7200,""id"":2895044,""name"":""Jena"",""cod"":200}"
2025-04-02 17:08:29,Jena,DE,50.9333,11.5833,287.68,286.49,287.52,289.02,1022,50,scattered clouds,3.13,44,8.05,"{""coord"":{""lon"":11.5833,""lat"":50.9333},""weather"":[{""id"":802,""main"":""Clouds"",""description"":""scattered clouds"",""icon"":""03d""}],""base"":""stations"",""main"":{""temp"":287.68,""feels_like"":286.49,""temp_min"":287.52,""temp_max"":289.02,""pressure"":1022,""humidity"":50,""sea_level"":1022,""grnd_level"":991},""visibility"":10000,""wind"":{""speed"":3.13,""deg"":44,""gust"":8.05},""clouds"":{""all"":44},""dt"":1743606319,""sys"":{""type"":2,""id"":2010771,""country"":""DE"",""sunrise"":1743569223,""sunset"":1743616023},""timezone"":7200,""id"":2895044,""name"":""Jena"",""cod"":200}"
2025-04-02 17:11:29,Jena,DE,50.9333,11.5833,287.68,286.49,287.52,289.02,1022,50,scattered clouds,3.13,44,8.05,"{""coord"":{""lon"":11.5833,""lat"":50.9333},""weather"":[{""id"":802,""main"":""Clouds"",""description"":""scattered clouds"",""icon"":""03d""}],""base"":""stations"",""main"":{""temp"":287.68,""feels_like"":286.49,""temp_min"":287.52,""temp_max"":289.02,""pressure"":1022,""humidity"":50,""sea_level"":1022,""grnd_level"":991},""visibility"":10000,""wind"":{""speed"":3.13,""deg"":44,""gust"":8.05},""clouds"":{""all"":44},""dt"":1743606319,""sys"":{""type"":2,""id"":2010771,""country"":""DE"",""sunrise"":1743569223,""sunset"":1743616023},""timezone"":7200,""id"":2895044,""name"":""Jena"",""cod"":200}"
2025-04-02 17:14:29,Jena,DE,50.9333,11.5833,288.2,286.88,287.52,290.13,1022,43,scattered clouds,3.13,44,8.05,"{""coord"":{""lon"":11.5833,""lat"":50.9333},""weather"":[{""id"":802,""main"":""Clouds"",""description"":""scattered clouds"",""icon"":""03d""}],""base"":""stations"",""main"":{""temp"":288.2,""feels_like"":286.88,""temp_min"":287.52,""temp_max"":290.13,""pressure"":1022,""humidity"":43,""sea_level"":1022,""grnd_level"":991},""visibility"":10000,""wind"":{""speed"":3.13,""deg"":44,""gust"":8.05},""clouds"":{""all"":44},""dt"":1743606742,""sys"":{""type"":2,""id"":2010771,""country"":""DE"",""sunrise"":1743569223,""sunset"":1743616023},""timezone"":7200,""id"":2895044,""name"":""Jena"",""cod"":200}"
2025-04-02 17:17:29,Jena,DE,50.9333,11.5833,288.2,286.88,287.52,290.13,1022,43,scattered clouds,3.13,44,8.05,"{""coord"":{""lon"":11.5833,""lat"":50.9333},""weather"":[{""id"":802,""main"":""Clouds"",""description"":""scattered clouds"",""icon"":""03d""}],""base"":""stations"",""main"":{""temp"":288.2,""feels_like"":286.88,""temp_min"":287.52,""temp_max"":290.13,""pressure"":1022,""humidity"":43,""sea_level"":1022,""grnd_level"":991},""visibility"":10000,""wind"":{""speed"":3.13,""deg"":44,""gust"":8.05},""clouds"":{""all"":44},""dt"":1743606742,""sys"":{""type"":2,""id"":2010771,""country"":""DE"",""sunrise"":1743569223,""sunset"":1743616023},""timezone"":7200,""id"":2895044,""name"":""Jena"",""cod"":200}"
2025-04-02 17:20:29,Jena,DE,50.9333,11.5833,287.96,286.62,287.52,288.92,1022,43,scattered clouds,2.68,62,6.26,"{""coord"":{""lon"":11.5833,""lat"":50.9333},""weather"":[{""id"":802,""main"":""Clouds"",""description"":""scattered clouds"",""icon"":""03d""}],""base"":""stations"",""main"":{""temp"":287.96,""feels_like"":286.62,""temp_min"":287.52,""temp_max"":288.92,""pressure"":1022,""humidity"":43,""sea_level"":1022,""grnd_level"":991},""visibility"":10000,""wind"":{""speed"":2.68,""deg"":62,""gust"":6.26},""clouds"":{""all"":44},""dt"":1743607105,""sys"":{""type"":2,""id"":2010771,""country"":""DE"",""sunrise"":1743569223,""sunset"":1743616023},""timezone"":7200,""id"":2895044,""name"":""Jena"",""cod"":200}"
2025-04-02 17:23:30,Jena,DE,50.9333,11.5833,287.96,286.62,287.52,288.92,1022,43,scattered clouds,2.68,62,6.26,"{""coord"":{""lon"":11.5833,""lat"":50.9333},""weather"":[{""id"":802,""main"":""Clouds"",""description"":""scattered clouds"",""icon"":""03d""}],""base"":""stations"",""main"":{""temp"":287.96,""feels_like"":286.62,""temp_min"":287.52,""temp_max"":288.92,""pressure"":1022,""humidity"":43,""sea_level"":1022,""grnd_level"":991},""visibility"":10000,""wind"":{""speed"":2.68,""deg"":62,""gust"":6.26},""clouds"":{""all"":44},""dt"":1743607105,""sys"":{""type"":2,""id"":2010771,""country"":""DE"",""sunrise"":1743569223,""sunset"":1743616023},""timezone"":7200,""id"":2895044,""name"":""Jena"",""cod"":200}"
2025-04-02 17:26:30,Jena,DE,50.9333,11.5833,287.28,286.05,287,288.11,1022,50,scattered clouds,3.58,76,5.81,"{""coord"":{""lon"":11.5833,""lat"":50.9333},""weather"":[{""id"":802,""main"":""Clouds"",""description"":""scattered clouds"",""icon"":""03d""}],""base"":""stations"",""main"":{""temp"":287.28,""feels_like"":286.05,""temp_min"":287,""temp_max"":288.11,""pressure"":1022,""humidity"":50,""sea_level"":1022,""grnd_level"":991},""visibility"":10000,""wind"":{""speed"":3.58,""deg"":76,""gust"":5.81},""clouds"":{""all"":44},""dt"":1743607255,""sys"":{""type"":2,""id"":2010771,""country"":""DE"",""sunrise"":1743569223,""sunset"":1743616023},""timezone"":7200,""id"":2895044,""name"":""Jena"",""cod"":200}"
2025-04-02 17:29:30,Jena,DE,50.9333,11.5833,287.28,286.05,287,288.11,1022,50,scattered clouds,3.58,76,5.81,"{""coord"":{""lon"":11.5833,""lat"":50.9333},""weather"":[{""id"":802,""main"":""Clouds"",""description"":""scattered clouds"",""icon"":""03d""}],""base"":""stations"",""main"":{""temp"":287.28,""feels_like"":286.05,""temp_min"":287,""temp_max"":288.11,""pressure"":1022,""humidity"":50,""sea_level"":1022,""grnd_level"":991},""visibility"":10000,""wind"":{""speed"":3.58,""deg"":76,""gust"":5.81},""clouds"":{""all"":44},""dt"":1743607255,""sys"":{""type"":2,""id"":2010771,""country"":""DE"",""sunrise"":1743569223,""sunset"":1743616023},""timezone"":7200,""id"":2895044,""name"":""Jena"",""cod"":200}"
